id (store)|year|month|week|usa|after|sales
1|2011|4|16|0|0|118690.7
1|2011|4|17|0|0|113804.266666667
1|2011|4|18|0|0|172104.333333333
1|2011|5|19|0|0|105590.966666667
1|2011|5|20|0|0|94884.3
1|2011|5|21|0|0|106246.433333333
1|2011|5|22|0|0|119067.766666667
1|2011|5|23|0|0|80604.4666666667
1|2011|6|24|0|0|138472.1
1|2011|6|25|0|0|187031.066666667
1|2011|6|26|0|0|159097.366666667
1|2011|6|27|0|0|136924.8
1|2011|7|28|0|0|116321.533333333
1|2011|7|29|0|0|124650.4
1|2011|7|30|0|0|101398.833333333
1|2011|7|31|0|0|106237.8
1|2011|8|32|0|0|89479.9
1|2011|8|33|0|0|142851.6
1|2011|8|34|0|0|100354.933333333
1|2011|8|35|0|0|132593.9
1|2011|8|36|0|0|96338.3333333333
1|2011|9|37|0|0|217664.466666667
1|2011|9|38|0|0|96275.1666666667
1|2011|9|39|0|0|152475.433333333
1|2011|9|40|0|0|89157.2333333333
1|2011|10|41|0|0|114080.266666667
1|2011|10|42|0|0|213817.933333333
1|2011|10|43|0|1|105129.966666667
1|2011|10|44|0|1|145111.733333333
1|2011|10|45|0|1|106205.3
1|2011|11|46|0|1|127147.833333333
1|2011|11|47|0|1|138521.1
1|2011|11|48|0|1|182305.133333333
1|2011|11|49|0|1|179613.533333333
1|2011|12|50|0|1|137124.2
1|2011|12|51|0|1|192487.066666667
1|2011|12|52|0|1|111623.1
1|2011|12|53|0|1|146438.933333333
1|2012|1|1|0|1|52105.0666666667
1|2012|1|2|0|1|134359.566666667
1|2012|1|3|0|1|89137.7666666667
1|2012|1|4|0|1|113036.4
1|2012|1|5|0|1|68635.2666666667
1|2012|1|6|0|1|87751.3666666667
1|2012|2|7|0|1|104430.566666667
1|2012|2|8|0|1|125178.366666667
1|2012|2|9|0|1|110720.433333333
1|2012|2|10|0|1|76451.4333333333
1|2012|3|11|0|1|76357.2333333333
1|2012|3|12|0|1|73580.7666666667
1|2012|3|13|0|1|83531.5666666667
1|2012|3|14|0|1|113182.9
1|2012|4|15|0|1|70199.4333333333
1|2012|4|16|0|1|117594.866666667
3|2011|4|16|1|0|31152.3766666667
3|2011|4|17|1|0|37310.9666666667
3|2011|4|18|1|0|44265.3666666667
3|2011|5|19|1|0|51676.3666666667
3|2011|5|20|1|0|52289.9666666667
3|2011|5|21|1|0|48859.8666666667
3|2011|5|22|1|0|48569.6
