id (DMA)|year|month|week|after|close|sales
1|2011|4|17|0|1|18564.46094
1|2011|4|18|0|1|30882.56055
1|2011|5|19|0|1|37424.92578
1|2011|5|20|0|1|32562.69336
1|2011|5|21|0|1|35772.67188
1|2011|5|22|0|1|33141.82031
1|2011|5|23|0|1|31751.82617
1|2011|6|24|0|1|44806.51172
1|2011|6|25|0|1|31873.11914
1|2011|6|26|0|1|31289.5332
1|2011|6|27|0|1|18165.48438
1|2011|7|28|0|1|24031.39258
1|2011|7|29|0|1|16517.55664
1|2011|7|30|0|1|6845.119629
1|2011|7|31|0|1|11946.0957
1|2011|8|32|0|1|20217.26758
1|2011|8|33|0|1|19117.1875
1|2011|8|34|0|1|15088.91309
1|2011|8|35|0|1|11506.90137
1|2011|8|36|0|1|27765.01563
1|2011|9|37|0|1|26113.25781
1|2011|9|38|0|1|19310.50195
1|2011|9|39|0|1|14741.95215
1|2011|9|40|0|1|31950.69531
1|2011|10|41|0|1|18089.0918
1|2011|10|42|0|1|40562.93359
1|2011|10|43|1|1|26997.04297
1|2011|10|44|1|1|27521.76758
1|2011|10|45|1|1|19163.64453
1|2011|11|46|1|1|16666.61328
1|2011|11|47|1|1|39513.41016
1|2011|11|48|1|1|22377.70703
1|2011|11|49|1|1|69086
1|2011|12|50|1|1|27563.40039
1|2011|12|51|1|1|20591.69141
1|2011|12|52|1|1|27297.20313
1|2011|12|53|1|1|12993.42188
1|2012|1|1|1|1|17912.89063
1|2012|1|2|1|1|16274.91211
1|2012|1|3|1|1|6720.806641
1|2012|1|4|1|1|17294.83984
1|2012|1|5|1|1|11947.77051
1|2012|1|6|1|1|21471.10742
1|2012|2|7|1|1|23376.38477
1|2012|2|8|1|1|16398.72656
1|2012|2|9|1|1|28410.05664
1|2012|2|10|1|1|18620.09961
1|2012|3|11|1|1|10190.66211
1|2012|3|12|1|1|13472.125
1|2012|3|13|1|1|9424.209961
1|2012|3|14|1|1|10009.89551
2|2011|4|17|0|0|86332.80469
2|2011|4|18|0|0|57384.69531
2|2011|5|19|0|0|109949.3125
2|2011|5|20|0|0|71999.80469
2|2011|5|21|0|0|134981.3594
2|2011|5|22|0|0|34303.33594
2|2011|5|23|0|0|88617.78906
2|2011|6|24|0|0|98571.83594
2|2011|6|25|0|0|42959.68359
2|2011|6|26|0|0|59599.4375
2|2011|6|27|0|0|122426.1641
2|2011|7|28|0|0|84280.48438
2|2011|7|29|0|0|37158.30469
2|2011|7|30|0|0|67811.61719
2|2011|7|31|0|0|60453.125
2|2011|8|32|0|0|31014.78711
2|2011|8|33|0|0|73827.10938
2|2011|8|34|0|0|44440.44531
2|2011|8|35|0|0|77480.75
2|2011|8|36|0|0|63910.25781
2|2011|9|37|0|0|103031.4375
2|2011|9|38|0|0|42616.26563
2|2011|9|39|0|0|60001.09766
2|2011|9|40|0|0|44035.89844
2|2011|10|41|0|0|66435.24219
2|2011|10|42|0|0|54881.80469
2|2011|10|43|1|0|54671.91016
2|2011|10|44|1|0|184310.5313
2|2011|10|45|1|0|74974.69531
2|2011|11|46|1|0|73731.83594
2|2011|11|47|1|0|79940.94531
2|2011|11|48|1|0|78177.5625
2|2011|11|49|1|0|215689.3125
2|2011|12|50|1|0|180844.6094
2|2011|12|51|1|0|172990.3906
2|2011|12|52|1|0|58079.40234
2|2011|12|53|1|0|56130.16406
2|2012|1|1|1|0|105771.4063
2|2012|1|2|1|0|42934.21094
2|2012|1|3|1|0|17515.16797
2|2012|1|4|1|0|35492.69922
2|2012|1|5|1|0|44116.6875
2|2012|1|6|1|0|81633.55469
2|2012|2|7|1|0|42346.6875
2|2012|2|8|1|0|103926.8047
2|2012|2|9|1|0|33770
2|2012|2|10|1|0|61466.81641
2|2012|3|11|1|0|44849.00781
2|2012|3|12|1|0|46776.33984
2|2012|3|13|1|0|45318.25
2|2012|3|14|1|0|40790.80078
3|2011|4|17|0|1|24119.60547
3|2011|4|18|0|1|18802.54102
3|2011|5|19|0|1|13433.22656
3|2011|5|20|0|1|18547.75391
3|2011|5|21|0|1|11038.06348
3|2011|5|22|0|1|16265.36914
3|2011|5|23|0|1|31830.98633
3|2011|6|24|0|1|59423.83594
3|2011|6|25|0|1|8500.904297
3|2011|6|26|0|1|17720.39844
3|2011|6|27|0|1|23978.32617
3|2011|7|28|0|1|14268.05957
3|2011|7|29|0|1|23241.58789
3|2011|7|30|0|1|16248.64063
3|2011|7|31|0|1|10458.03613
3|2011|8|32|0|1|13702.77246
3|2011|8|33|0|1|17750.70703
3|2011|8|34|0|1|15157.04492
3|2011|8|35|0|1|12745.48438
3|2011|8|36|0|1|25896.08594
3|2011|9|37|0|1|30351.01563
3|2011|9|38|0|1|17678.78906
3|2011|9|39|0|1|24534.1543
3|2011|9|40|0|1|28150.92773
3|2011|10|41|0|1|12104.52637
3|2011|10|42|0|1|11564.57031
3|2011|10|43|1|1|21856.34766
3|2011|10|44|1|1|6469.67627
3|2011|10|45|1|1|16847.72266
3|2011|11|46|1|1|16273.51563
3|2011|11|47|1|1|16226.28027
3|2011|11|48|1|1|27191.55859
3|2011|11|49|1|1|53673.59766
3|2011|12|50|1|1|21452.1543
3|2011|12|51|1|1|17050.93555
3|2011|12|52|1|1|13426.09277
3|2011|12|53|1|1|11767.24902
3|2012|1|1|1|1|9204.186523
3|2012|1|2|1|1|12891.58105
3|2012|1|3|1|1|10441.67285
3|2012|1|4|1|1|7313.464355
3|2012|1|5|1|1|15570.82715
3|2012|1|6|1|1|12797.60254
3|2012|2|7|1|1|7010.715332
3|2012|2|8|1|1|13901.97656
3|2012|2|9|1|1|9130.147461
3|2012|2|10|1|1|9069.746094
3|2012|3|11|1|1|4186.129883
3|2012|3|12|1|1|3900.543945
3|2012|3|13|1|1|4531.373047
3|2012|3|14|1|1|4744.035645
4|2011|4|17|0|1|2944.023926
4|2011|4|18|0|1|2809.831543
4|2011|5|19|0|1|3171.88208
4|2011|5|20|0|1|2817.896973
4|2011|5|21|0|1|6708.307129
4|2011|5|22|0|1|1897.087646
4|2011|5|23|0|1|4472.793457
4|2011|6|24|0|1|2633.775146
4|2011|6|25|0|1|1653.459351
4|2011|6|26|0|1|2958.623291
4|2011|6|27|0|1|3012.112549
4|2011|7|28|0|1|3867.754395
4|2011|7|29|0|1|3310.961182
4|2011|7|30|0|1|2676.227051
4|2011|7|31|0|1|1955.686279
4|2011|8|32|0|1|3737.903564
4|2011|8|33|0|1|4066.133057
4|2011|8|34|0|1|1355.422852
4|2011|8|35|0|1|2239.434814
4|2011|8|36|0|1|3006.384277
4|2011|9|37|0|1|5447.966797
4|2011|9|38|0|1|2612.802979
4|2011|9|39|0|1|5042.99707
4|2011|9|40|0|1|4465.671387
4|2011|10|41|0|1|1784.382813
4|2011|10|42|0|1|4297.990723
4|2011|10|43|1|1|4885.775879
4|2011|10|44|1|1|2501.656738
4|2011|10|45|1|1|6331.39502
4|2011|11|46|1|1|2896.312988
4|2011|11|47|1|1|4196.742676
4|2011|11|48|1|1|2037.55603
4|2011|11|49|1|1|8748.364258
4|2011|12|50|1|1|3320.859131
4|2011|12|51|1|1|1938.904785
4|2011|12|52|1|1|2385.354248
4|2011|12|53|1|1|3344.575684
4|2012|1|1|1|1|1540.847534
4|2012|1|2|1|1|2209.092285
4|2012|1|3|1|1|4719.708008
4|2012|1|4|1|1|2250.423096
4|2012|1|5|1|1|1571.45459
4|2012|1|6|1|1|1969.486084
4|2012|2|7|1|1|1558.599487
4|2012|2|8|1|1|1439.325317
4|2012|2|9|1|1|3223.623779
4|2012|2|10|1|1|3894.578125
4|2012|3|11|1|1|1826.524048
4|2012|3|12|1|1|1901.572632
4|2012|3|13|1|1|1434.755493
4|2012|3|14|1|1|1874.696289
5|2011|4|17|0|0|27618.3418
5|2011|4|18|0|0|45551.75781
5|2011|5|19|0|0|29597.79102
5|2011|5|20|0|0|37962.54688
5|2011|5|21|0|0|66170.80469
5|2011|5|22|0|0|13103.48828
5|2011|5|23|0|0|35679.69531
5|2011|6|24|0|0|28054.57813
5|2011|6|25|0|0|37261.03516
5|2011|6|26|0|0|60733.38672
5|2011|6|27|0|0|30723.95703
5|2011|7|28|0|0|19350.83789
5|2011|7|29|0|0|22957.08398
5|2011|7|30|0|0|28336.88867
5|2011|7|31|0|0|12822.08398
5|2011|8|32|0|0|48230.49219
5|2011|8|33|0|0|34883.5
5|2011|8|34|0|0|21812.01563
5|2011|8|35|0|0|33528.55078
5|2011|8|36|0|0|22600.75781
5|2011|9|37|0|0|95633.90625
5|2011|9|38|0|0|46716.24609
5|2011|9|39|0|0|28643.77734
5|2011|9|40|0|0|13317.74805
5|2011|10|41|0|0|22858.25
5|2011|10|42|0|0|28514.50586
5|2011|10|43|1|0|36121.66016
5|2011|10|44|1|0|20356.83789
5|2011|10|45|1|0|19391.48047
5|2011|11|46|1|0|25548.3457
5|2011|11|47|1|0|41490.5
5|2011|11|48|1|0|29151.48242
5|2011|11|49|1|0|65277.63672
5|2011|12|50|1|0|22720.58984
5|2011|12|51|1|0|25024.53711
5|2011|12|52|1|0|21601.4043
5|2011|12|53|1|0|22347.50781
5|2012|1|1|1|0|25699.78125
5|2012|1|2|1|0|13909.2041
5|2012|1|3|1|0|14529.62988
5|2012|1|4|1|0|12794.23438
5|2012|1|5|1|0|16362.04688
5|2012|1|6|1|0|20096.79492
5|2012|2|7|1|0|7250.332031
5|2012|2|8|1|0|11320.49023
5|2012|2|9|1|0|18962.41211
5|2012|2|10|1|0|35021.43359
5|2012|3|11|1|0|11936.50684
5|2012|3|12|1|0|12391.12793
5|2012|3|13|1|0|10100.28418
5|2012|3|14|1|0|9639.099609
6|2011|4|17|0|0|11738.94727
6|2011|4|18|0|0|18574.76758
6|2011|5|19|0|0|7273.025879
6|2011|5|20|0|0|18748.10742
6|2011|5|21|0|0|28193.43164
6|2011|5|22|0|0|7705.626465
6|2011|5|23|0|0|9307.275391
6|2011|6|24|0|0|17290.94727
6|2011|6|25|0|0|10818.42773
6|2011|6|26|0|0|10671.67871
6|2011|6|27|0|0|9295.24707
6|2011|7|28|0|0|33239.62891
6|2011|7|29|0|0|6029.832031
6|2011|7|30|0|0|13709.08496
6|2011|7|31|0|0|11338.36133
6|2011|8|32|0|0|12146.52637
6|2011|8|33|0|0|4835.29248
6|2011|8|34|0|0|14492.37598
6|2011|8|35|0|0|6251.416504
6|2011|8|36|0|0|8665.676758
6|2011|9|37|0|0|7372.343262
6|2011|9|38|0|0|6802.513672
6|2011|9|39|0|0|11836.88574
6|2011|9|40|0|0|10198.18652
6|2011|10|41|0|0|10303.80664
6|2011|10|42|0|0|9223.051758
6|2011|10|43|1|0|8205.90625
6|2011|10|44|1|0|10834.31738
6|2011|10|45|1|0|11530.27734
6|2011|11|46|1|0|14119.62207
6|2011|11|47|1|0|8153.905273
6|2011|11|48|1|0|6147.897949
6|2011|11|49|1|0|22272.84766
6|2011|12|50|1|0|15468.65723
6|2011|12|51|1|0|9241.21582
6|2011|12|52|1|0|7206.970215
6|2011|12|53|1|0|26235.42188
6|2012|1|1|1|0|8117.532227
6|2012|1|2|1|0|7984.033203
6|2012|1|3|1|0|9705.736328
6|2012|1|4|1|0|7566.93457
6|2012|1|5|1|0|6015.03125
6|2012|1|6|1|0|5862.612305
6|2012|2|7|1|0|3804.977295
6|2012|2|8|1|0|6456.418457
6|2012|2|9|1|0|6786.858398
6|2012|2|10|1|0|7437.807617
6|2012|3|11|1|0|7469.667969
6|2012|3|12|1|0|7194.396484
6|2012|3|13|1|0|7985.640137
6|2012|3|14|1|0|5674.814453
7|2011|4|17|0|1|84971.32031
7|2011|4|18|0|1|61759.61328
7|2011|5|19|0|1|111151.6172
7|2011|5|20|0|1|56341.46875
7|2011|5|21|0|1|77075.49219
7|2011|5|22|0|1|87186.50781
7|2011|5|23|0|1|64760.5
7|2011|6|24|0|1|73339.04688
7|2011|6|25|0|1|81111.75
7|2011|6|26|0|1|57162.44531
7|2011|6|27|0|1|42205.17578
7|2011|7|28|0|1|60038.30078
7|2011|7|29|0|1|42300.55469
7|2011|7|30|0|1|73984
7|2011|7|31|0|1|42388.66797
7|2011|8|32|0|1|86740.24219
7|2011|8|33|0|1|162944.7344
7|2011|8|34|0|1|58439.87891
7|2011|8|35|0|1|68181.89063
7|2011|8|36|0|1|33761.5
7|2011|9|37|0|1|93228.08594
7|2011|9|38|0|1|74263.85938
7|2011|9|39|0|1|67576.4375
7|2011|9|40|0|1|100550.3203
7|2011|10|41|0|1|36164.19531
7|2011|10|42|0|1|117619.1484
7|2011|10|43|1|1|66130.24219
7|2011|10|44|1|1|62119.23047
7|2011|10|45|1|1|94885.24219
7|2011|11|46|1|1|58667.375
7|2011|11|47|1|1|112934.7344
7|2011|11|48|1|1|78254.83594
7|2011|11|49|1|1|218706.2031
7|2011|12|50|1|1|62837.80469
7|2011|12|51|1|1|91491.00781
7|2011|12|52|1|1|67973.16406
7|2011|12|53|1|1|56820.89844
7|2012|1|1|1|1|46082.20313
7|2012|1|2|1|1|38170.78516
7|2012|1|3|1|1|27896.28906
7|2012|1|4|1|1|54736.96484
7|2012|1|5|1|1|27888.92188
7|2012|1|6|1|1|61160.82813
7|2012|2|7|1|1|22356.95117
7|2012|2|8|1|1|38619.84375
7|2012|2|9|1|1|88834.15625
7|2012|2|10|1|1|30093.86328
7|2012|3|11|1|1|45533.99219
7|2012|3|12|1|1|42886.69922
7|2012|3|13|1|1|49861.72656
7|2012|3|14|1|1|40341.11328
8|2011|4|17|0|1|28306.74609
8|2011|4|18|0|1|44890.89844
8|2011|5|19|0|1|16389.62695
8|2011|5|20|0|1|41227.49219
8|2011|5|21|0|1|19232.48438
8|2011|5|22|0|1|25456
8|2011|5|23|0|1|17389.42383
8|2011|6|24|0|1|11490.80371
8|2011|6|25|0|1|49197.89063
8|2011|6|26|0|1|16532.78125
8|2011|6|27|0|1|29435.98633
